"","L3_Control_heterozygous_1","L3_Control_heterozygous_2","L3_Control_heterozygous_3","L3_Control_heterozygous_4","L3_Control_heterozygous_5","L3_Control_heterozygous_6","L3_Control_heterozygous_7","L3_Control_heterozygous_8","L3_Pantethine_heterozygous_1","L3_Pantethine_heterozygous_2","L3_Pantethine_heterozygous_3","L3_Pantethine_heterozygous_4","L3_Pantethine_heterozygous_5","L3_Pantethine_heterozygous_6","L3_Pantethine_heterozygous_7","L3_Pantethine_heterozygous_8","L3_VitaminB5_heterozygous_1","L3_VitaminB5_heterozygous_2","L3_VitaminB5_heterozygous_3","L3_VitaminB5_heterozygous_4","L3_VitaminB5_heterozygous_5","L3_VitaminB5_heterozygous_6","L3_VitaminB5_heterozygous_7"
"40a0908dbb52eed5527cf01254b91f55",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"3333476542c0dda12eca00fabceb20c7",148,48,45,27,94,45,39,53,123,23,25,68,60,59,51,45,150,56,74,80,173,93,57
"85921dc72dfa6f55d132e1ad8f1c6efd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"b86c3d4735a408017cd28cd058e8e13e",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adae67d1ff4f64cd3802a1c26b3f4c23",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ddde3e4e52171396404f33cc4ddb9c13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"35a7a7077a26370ac466525b70d44629",153,188,183,194,177,188,210,172,177,169,187,159,172,184,171,147,117,215,174,161,83,181,164
"0393d6515236ba8386c64d91536930e7",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"c222a846371e08b4d634d83ce7102860",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4b1cef8e475baf7ae89c9e7c2a2f2694",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60a0fc2de6708ffd3f18a02182d85f99",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"553f83b3ac67132bf60b9da85fb65491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
