;Wild type_1;dPANK/fbl_1;dPANK/fbl_2;Wild type_2;Wild type_3;Wild type_4;dPANK/fbl_3;dPANK/fbl_4;Wild type_5;dPANK/fbl_5;Kingdom;Phylum;Class;Order;Family;Genus;Species
19ca7f85a686ea3063186be1b3ca6531;0;0;0;0;0;0;0;0;0;1;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured soil bacterium
1a41dc873603ac7116ec8a342d9646a9;0;0;0;0;0;0;0;0;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;uncultured bacterium
1bd8cbee4cda338e3be4d750e9a4ef50;0;0;0;0;0;2;1;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Marinobacterium;
1cc214e5b15f0d9e22e06d3c0ffc18ef;0;0;0;0;0;0;1;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;uncultured bacterium
1d184da8d7fa2f34fb0bbedaa9979ac4;0;0;0;0;0;1;0;0;2;0;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Sva1033;uncultured bacterium;uncultured bacterium
1dfdb252e37600fa026a6654def30754;0;2;0;0;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
1ea673b484920216653a929ee4e8d42a;0;0;0;0;0;0;0;0;0;1;Bacteria;Acidobacteria;Subgroup 22;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium
203f98234e93763ffe8ea09966c2e404;0;0;0;2;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
208cb7d8721fd143ba72748133d3e01c;0;2;0;0;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;uncultured bacterium
209ed09f79ca491e68cffd128b950104;0;0;0;0;0;0;0;1;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
216c8920a9bdbb2b51d3b42256e079f4;0;0;0;0;1;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;MND1;uncultured bacterium
22d6e76b6121804edbbc9d5d0d6bef30;0;0;0;0;0;0;0;1;0;0;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;uncultured Acidobacteriaceae bacterium
23e76824037593f01d23c141483fe91a;0;0;0;0;0;0;0;2;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;;;
23ea19b1d77474cf7409eda407c09ed8;0;0;0;0;1;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Marinobacterium;
24043fca9930a9fa49b197b98b8a4e45;0;0;0;0;0;0;1;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
24beae793bcaca6138259b034a6075bd;0;0;0;1;0;1;3;2;2;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
255e79a5c3c8980b3f7f1d4756de8932;0;0;0;1;0;0;0;1;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
256427c1cd855fcaa892d1125365807e;0;0;0;0;0;1;0;0;0;0;Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales;uncultured;;
2596ceff5fcf4c6e0808f0e2fb1d5ab6;0;0;0;0;0;0;0;0;0;2;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;uncultured bacterium
27a2ee21c38a25043fa6f2e3e61bcd66;0;0;0;0;2;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
27ea930befcafada9dea77c435870117;0;0;0;0;1;2;0;0;0;0;Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;uncultured;;
2bb3823fc980a875f9d73ffd273c1978;0;0;0;0;0;0;0;0;2;0;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;;
2c9f2a419991f40b4a2f25f4a375feaf;0;3;0;0;0;0;0;0;3;0;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;;
2cc718737b9d8891030aca7d2ed700a9;0;0;0;0;1;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
2d4efc7f50975c0ec919c26fa90bbae2;0;0;0;0;0;0;0;1;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
2d834dae3b0ef91f24b7013c8dd1fd8d;0;0;0;0;0;0;0;1;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;uncultured bacterium
2ea77f1c9f118590b9b918c638a4195d;0;0;0;0;0;0;1;0;0;1;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;uncultured;uncultured bacterium
2eea49748f46f6722396721a78c8964b;0;0;0;1;0;0;1;0;0;0;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;uncultured Nitrospirae bacterium
2f04b95dfa503eb0f5a8b4c1808def0a;0;2;0;0;0;2;0;0;1;0;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
2f74e030eb793a3410a76cae66f5a707;0;0;0;0;0;0;0;2;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
2ff718f0f95ccf3ade26c39e068b51dc;0;3;0;0;2;1;0;3;3;0;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;uncultured bacterium
30336d40e9b96b0de14d01b61b4acb3d;0;0;0;0;0;0;2;0;0;0;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;;
304ca66110be447daf8b527016d692c2;0;0;0;0;0;0;0;1;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Aquimonas;uncultured bacterium
316459dac323e7e1fad3613764cb3fae;0;0;0;0;0;0;0;1;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
31aae6affebe6bee0bfa3594459b2fda;0;0;0;0;1;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
31e5fabcdbebbb2420e2eed6c15e2320;0;0;0;0;0;2;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
321e6dafa27fe085fc60606bd2e61604;0;0;0;0;2;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
3261e4262f1ac439dc56743926ef5b13;0;0;0;0;0;0;0;0;0;1;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;uncultured bacterium
327d95bae68b014f05214d531459109d;0;0;0;1;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;uncultured bacterium
331788906cf33977600df37bc6ec2b85;0;0;0;2;0;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;;
